Name,Description,
Fixed Costs,"Costs that are legally or contractually mandated such as retirement, FICA/Social Security, insurance, debt service costs or interest on loans.",
Float,The difference between the bank balance for a local government?s account and its book balance at the end of the day. The primary factor creating float is clearing time on checks and deposits. Delays in receiving deposit and withdrawal information also influence float.,
Foreclosure,(See Tax Title Foreclosure),
Foundation Budget,The spending target imposed by the Education Reform Act of 1993 for each school district as the level necessary to provide an adequate education for all students.,
Free Cash (Also Budgetary Fund Balance),"Remaining, unrestricted funds from operations of the previous fiscal year including unexpended free cash from the previous year, actual receipts in excess of revenue estimates shown on the tax recapitulation sheet, and unspent amounts in budget line-items. Unpaid property taxes and certain deficits reduce the amount that can be certified as free cash. The calculation of free cash is based on the balance sheet as of June 30, which is submitted by the community's auditor, accountant, or comptroller. Important: free cash is not available for appropriation until certified by the Director of Accounts. (See Available Funds)",
Full Accrual,Basis of Accounting,"A method of accounting that recognizes the financial effect of transactions, events, and interfund activities when they occur, regardless of the timing of related cash flows."
Full and Fair Cash Value (FFCV),"Fair cash value has been defined by the Massachusetts Supreme Judicial Court as ""fair market value, which is the price an owner willing but not under compulsion to sell ought to receive from one willing but not under compulsion to buy. It means the highest price that a normal purchaser not under peculiar compulsion will pay at the time, and cannot exceed the sum that the owner after reasonable effort could obtain for his property. A valuation limited to what the property is worth to the purchaser is not market value. The fair cash value is the value the property would have on January first of any taxable year in the hands of any owner, including the present owner."" (Boston Gas Co. v. Assessors of Boston, 334 Mass. 549, 566 (1956))",
Full Faith and Credit Obligations,A pledge of the general taxing powers for the payment of governmental obligations. Bonds carrying such pledges are usually referred to as general obligation or full-faith-and-credit bonds.,
Full Measure and List,"An inspection program completed by assessors to maintain up-to-date property records. Inspections are usually carried out by assessors, in-house staff or by contract data collectors. Properties are literally measured and re- listed in the assessors' records with any changes in conditions since the last inspection as indicated on field cards. Also referred to as a cyclical inspection program, BLA recommends a full measure and list be completed at least every 7-to-10 years.",
Fund,"An accounting entity with a self balancing set of accounts that is segregated for the purpose of carrying on identified activities or attaining certain objectives in accordance with specific regulations, restrictions, or limitations.",
Fund Accounting,"Organizing the financial records of a municipality into multiple, segregated locations for money. A fund is a distinct entity within the municipal government in which financial resources and activity (assets, liabilities, fund balances, revenues, and expenditures) are accounted for independently in accordance with specific regulations, restrictions or limitations. Examples of funds include the general fund and enterprise funds. Communities whose accounting records are organized according to the Uniform Municipal Accounting System (UMAS) use multiple funds.",
Fund Balance,The difference between assets and liabilities reported in a governmental fund. Also known as fund equity. (See Unreserved Fund Balance),
GANS,Grant Anticipation Notes,
GASB 34,"A major pronouncement of the Governmental Accounting Standards Board that establishes new criteria on the form and content of governmental financial statements. GASB 34 requires a report on overall financial health, not just on individual funds. It requires more complete information on the cost of delivering services and value estimates on public infrastructure assets, such as bridges, road, sewers, etc. It also requires the presentation of a narrative statement analyzing the government's financial performance, trends and prospects for the future.",
GASB 45,"This is another Governmental Accounting Standards Board major pronouncement that each public entity account for and report other postemployment benefits (See OPEB) in its accounting statements. Through actuarial analysis, municipalities must identify the true costs of the OPEB earned by employees over their estimated years of actual service.",
General Fund,The fund used to account for most financial resources and activities governed by the normal town meeting/city council appropriation process.,
General Fund Subsidy,"Most often used in the context of enterprise funds. When the revenue generated by rates, or user fees, is insufficient to cover the cost to provide the particular service, general fund money is used to close the gap in the form of a subsidy. The subsidy may or may not be recovered by the general fund in subsequent years.",
General Ledger,"The accountant's record of original entry, which is instrumental in forming a paper trail of all government financial activity.",
General Obligation Bonds,Bonds issued by a municipality for purposes allowed by statute that are backed by the full faith and credit of its taxing authority.,
Generally Accepted Accounting Principles (GAAP),Uniform minimum standards and guidelines for financial accounting and reporting that serve to achieve some level of standardization.,
Generally Accepted Auditing Standards (GAAS),Auditing standards established by the Auditing Standards Board of the American Institute of Certified Public Accountants. All financial statement audit engagements must follow GAAS.,
Generally Accepted Government Auditing Standards (GAGAS),"These are auditing standards established by the U.S. Governmental Accountability Office (GAO) publication ""Government Auditing Standards"" also known as the ""Yellow Book"". GAGAS for financial statement audits incorporate the fieldwork and reporting standards of GAAS.",
GIS (Geographical Information System),"A computerized mapping system and analytical tool that allows a community to raise information on a parcel, area or community wide basis. It also allows parcels to be identified and sorted on the basis of certain specified criteria. The system can integrate assessors' property data, water and sewer line networks, wetlands, floodplains and as well as other data.",
Governing Body,"A board, committee, commission, or other executive or policymaking body including the school committee of a municipality.",
Government Finance Officers Association (GFOA),A nationwide association of public finance professionals.,
Governmental Accounting Standards Board (GASB),The ultimate authoritative accounting and financial reporting standard-setting body for state and local governments.,
Governmental External Investment Pool,"An arrangement that commingles money of more than one legally separate entity and invests, on the participants? behalf, in an investment portfolio. A pool can be sponsored by an individual government, jointly by more than one government, or by a nongovernmental entity.  An example is the Massachusetts Municipal Depository Trust.",
Governmental Funds,"Funds generally used to account for tax-supported activities. There are five different types of governmental funds: the general fund, special revenue funds, capital projects funds, debt service funds, and permanent funds.",
Grant Anticipation Notes (GANS),"Short-term, interest-bearing notes issued by a government to raise capital to be repaid by grants proceeds, which are anticipated at a later date. GANS allow the recipient of the grant to begin carrying out the purpose of the grant immediately.",
Home Rule,This refers to the power of municipalities to regulate their affairs by by- law/ordinance or home-rule charter subject to certain limitations.,
Home Rule Charter,"An alternative, under MGL Ch. 43B, to create a charter commission by which cities and towns create, adopt, revise and amend local charters.",
Hotel/Motel Excise,"A local option since 1985 that allows a community to assess a tax on short-term room occupancy. The community may levy up to 4 percent of the charge for stays of less than 90 days at hotels, motels and lodging houses. The convention center legislation imposed an additional 2.75 percent charge in Boston, Cambridge, Springfield and Worcester.",
House 1 or 1A,"Designation given to the Governor's annual budget request, which is submitted to the House of Representatives by the fourth Wednesday of January. Except that a newly elected governor has eight weeks from the day he/she takes office to submit a budget. The budget is designated House 1 in the first year of the two- year legislative session and House 1A in the second year.",
HUD,U.S. Department of Housing and Urban Development,
IAAO,International Association of Assessing Officers,
IG,Inspector General,
Income Approach,"A method of estimating property value by converting anticipated net rental revenue, generated by the property, into an indication of market value. Used primarily to value commercial/industrial properties and apartment buildings, which are normally bought and sold on the basis of their income producing capability.",
Incurred But Not Reported (IBNR),"Per Ch. 61 of the Acts of 2005, any political subdivision that self- insures its group health plan under G.L. Ch. 32B ?3A must conduct an annual audit of its health insurance claims fund to ensure that all claims incurred but not reported are properly accrued at the end of the fiscal year. Any year-end deficit must be funded in the succeeding year. Any political subdivision that has a deficit in its self-insurance health fund at the end of FY2005 because it has not been accruing these IBNR claims is allowed a one- time opportunity to amortize that deficit over a period not to exceed three years, beginning in FY2007. (See IGR No. 05-101)",
Indirect Cost,Costs of a service not reflected in the operating budget of the entity providing the service. An example of an indirect cost of providing water service would be the value of time spent by non-water department employees processing water bills. A determination of these costs is necessary to analyze the total cost of service delivery. The matter of indirect costs arises most often in the context of enterprise funds.,
Informational Guideline Release (IGR),"A DLS publication that outlines a policy, administrative procedure, or provides a law update related to municipal finance. Refer to online listing of IGRs.",
Inside Debt,"Municipal debt incurred for purposes enumerated in MGL Ch. 44, ?7, and measured against the community's debt limit as set under Ch. 10. Consequently, the borrowing is inside the debt limit and referred to as inside debt. (See Outside Debt)",
Interest,"Compensation paid or to be paid for the use of money, including amounts payable at periodic intervals or discounted at the time a loan is made. In the case of municipal bonds, interest payments accrue on a day-to-day basis, but are paid every six months.",
Interest Rate,"The interest payable, expressed as a percentage of the principal available, for use during a specified period of time. It is always expressed in annual terms.",
Interim Year Valuation Adjustment,"State law requires that local assessed values reflect market value every year. Every three years, BLA reviews and certifies that an individual community's assessed values meet the standard. In between these triennial revaluations, a community must complete an annual analysis to determine whether an interim year value adjustment is warranted and report the results to BLA. Depending on market conditions and property value trends, adjustments may increase, decrease or leave values unchanged. (See IGR No. 05-401)",
Internal Service Fund,"A municipal accounting fund used to accumulate the cost of central services such as data processing, printing, postage, motor pool. Costs or charges to an internal service fund are then allocated to other departments or funds within the government unit.",
Investments,"Securities and real estate held for the production of income in the form of interest, dividends, rentals, or lease payments. The term does not include fixed assets used in governmental operations.",
IT,Information Technology,
Joint Labor Management Committee (JLMC),The purpose of the JLMC is to mediate police officer or fire fighter collective bargaining disputes with municipalities when negotiations have reached an impasse. The JLMC enters the collective bargaining process only when petitioned to do so by either party or by both parties acing jointly.,
Judgment,"An amount to be paid or collected by a governmental unit as a result of a court decision, including a condemnation award in payment for private property taken for public use.",
Land Court,"Established in 1898, the Land Court has the exclusive jurisdiction to foreclose rights of redemption on a property in tax title.",
Land of Low Value (MGL Ch. 60 ?79),"After 90 days from the date of taking, the treasurer may work with the assessors to pursue land of low value foreclosure (MGL Ch. 60 ?79) through DOR, an alternative foreclosure procedure to seeking a decree from Land Court. Annually, DLS publishes the maximum valuation of parcels qualifying for the land of low value foreclosure procedure.",
Land Schedule,"A table, typically developed by assessors and revaluation consultants, which is used to arrive at consistent assessed values for land within defined neighborhoods. Based on an analysis of market sales, neighborhood prime site value, secondary site value, and so forth are established within a computer program. As the property characteristics of other land parcels are entered, the computer program assigns a value based on the land schedule.",
Late Interest,"When taxes and excise are overdue, late interest accrues automatically. For fees and charges, a community may establish an ordinance/bylaw to charge interest on overdue accounts to encourage timely payments (MGL Ch. 40 ?21E). In the ordinance/bylaw, the community must establish due dates and set an overdue interest rate not to exceed the rate that applies to overdue taxes (currently 14 percent annually).",
Law Enforcement Trust Fund,A revolving fund established to account for a portion of the proceeds from the sale of property seized from illegal drug- related activities. Funds may be expended to defray certain qualified law enforcement costs as outlined in MGL Ch. 94C ?47. Funds from this account may be expended by the police chief without further appropriation.,
Legal Level of Budgetary Control,The level at which a government?s management may not reallocate resources without approval from the legislative body.,
Legal Opinion (Debt Issuance),"An opinion by an attorney or law firm that bonds have been legally issued by a public body, and, usually, that the bonds are exempt from federal income taxes and some Massachusetts taxes under existing laws, regulations, and rulings.",
Legislative Bulletins,The Division of Local Services publishes Bulletins (announcements and useful information) for local officials and municipal finance professionals.,
Levy,"The amount a community raises through the property tax. The levy can be any amount up to the levy limit, which is re-established every year in accordance with Proposition 2« provisions.",
Levy Ceiling,"A levy ceiling is one of two types of levy (tax) restrictions imposed by MGL Ch. 59 ?21C (Proposition 2«). It states that, in any year, the real and personal property taxes imposed may not exceed 2« percent of the total full and fair cash value of all taxable property. Property taxes levied may exceed this limit only if the community passes a capital exclusion, a debt exclusion, or a special exclusion. (See Levy Limit)",
Levy Limit,"A levy limit is one of two types of levy (tax) restrictions imposed by MGL Ch. 59 ?21C (Proposition 2«). It states that the real and personal property taxes imposed by a city or town may only grow each year by 2« percent of the prior year's levy limit, plus new growth and any overrides or exclusions. The levy limit can exceed the levy ceiling only if the community passes a capital expenditure exclusion, debt exclusion, or special exclusion. (See Levy Ceiling)",
LGAC,Local Government Advisory Committee,
Lien,"A legal claim against real or personal property to protect the interest of a party (i.e., a city or town) to whom a debt is owed (i.e., taxes). In the case of real property, the lien in favor of a municipality automatically arises each January 1, but must be secured through other action. (See Lien Date)",
Lien Date,"The date a lien arises on real property to protect the municipality?s right to payment of taxes. Property tax liens arise by law on the January 1 assessment date. The lien is secured when the collector makes a tax taking and places the property in tax title. Unless the lien is secured, it expires if five years elapse from the January 1 assessment date and the property is transferred in the meantime. Securing a lien on a motor vehicle or boat excise, personal property tax requires civil court action.",
Line-Item Budget,"A budget that separates spending into categories, or greater detail, such as supplies, equipment, maintenance, or salaries, as opposed to a program budget.",
Line-Item Transfer,"The reallocation of a budget appropriation between two line-items within an expenditure category (e.g., salaries, expenses). Employed as a management tool, line-item transfer authority allows department heads to move money to where a need arises for a similar purpose and without altering the bottom line. Whether or not line- item transfers are permitted depends on how the budget is presented (i.e., format) and what level of budget detail town meeting approves.",
Local Acceptance Statute,A requirement placed within the language of a General Law that a community affirmatively accept the statute by town meeting or city council action or referenda before availing itself of the provisions of the particular law.,
Local Aid,"Revenue allocated by the Commonwealth to cities, towns, and regional school districts. Estimates of local aid are transmitted to cities, towns, and districts annually by the ""Cherry Sheets."" Most Cherry Sheet aid programs are considered general fund revenues and may be spent for any purpose, subject to appropriation.",
Local Appropriating Authority,"In a town, the town meeting has the power to appropriate funds, including the authorization of debt. In a city, the city council has the power upon the recommendation of the mayor. (See Legal Level of Budgetary Control)",
Local Receipts,"Locally generated revenues, other than real and personal property taxes. Examples include motor vehicle excise, investment income, hotel/motel tax, fees, rentals, and charges. Annual estimates of local receipts are shown on the tax rate recapitulation sheet. (See Estimated Receipts)",
Lock Box Service,"A service typically offered by a financial institution for a fee to receive, process, and deposit payments made to municipalities for property taxes, motor vehicle excise, boat excise, and/or utility payments. At the end of each processing day, the community receives payment information on disk or other medium, which can be automatically posted to the collectors' cash receipts software. Printed reports are also provided.",
Long-Term Debt,"Community borrowing, or outstanding balance at any given time, involving loans with a maturity date of 12 months or more. (See Permanent Debt)",
Maintenance Budget,A no-growth budget that continues appropriations for programs and services at their current year levels. The actual appropriation to maintain programs and services may still increase due to inflation or other factors.,
Market Value,(See Full and Fair Cash Value),
Mass Appraisal,Use of standardized procedures for collecting data and appraising property to ensure that all properties within a municipality are valued uniformly and equitably.,
Massachusetts Association of Assessing Officers (MAAO),A professional organization for individuals who are assessors in Massachusetts.,
Massachusetts Certified Public Purchasing Official (MCPPO),A certification and designation program for public officials responsible for municipal procurements in Massachusetts. (See Uniform Procurement Act),
Massachusetts Collectors and Treasurers Association (MCTA),A professional organization for individuals who are municipal tax collectors or treasurers in Massachusetts.,
Massachusetts Government Finance Officers Association (MGFOA),A professional organization promoting the advancement of the profession of Public Finance in Massachusetts.,
Massachusetts Municipal Association (MMA),A statewide organization for bringing together municipal officials to develop and advocate uniform policies and share information about providing municipal services.,
Massachusetts Municipal Auditors and Accountants Association (MMAAA),A professional organization for individuals who are municipal auditors or accountants and others with an interest in these activities in Massachusetts.,
Massachusetts Municipal Depository Trust (MMDT),"An investment program, founded in 1977 under the supervision of the State Treasurer, in which municipalities may pool excess cash for investment.",
Massachusetts School Building Authority (MSBA),"Administers the state program that reimburses cities, towns, and regional school districts varying percentages of their school construction costs depending on the wealth of the community or district and the category of reimbursement. Projects that received their first reimbursement payment prior to July 26, 2004 will continue to get annual state payments to offset the related annual debt service. Thereafter, cities, towns, and regional school districts will receive a lump sum amount representing the state?s share of the eligible project costs. (See DOR IGR 06-101)",
Material Weakness,A term used in connection with financial auditing. This is a significant deficiency in a community?s internal financial control. It is a reportable condition (internal control weakness) of such magnitude that it could potentially result in material misstatements of financial condition.,
Maturity Date,The date that the principal of a bond becomes due and payable in full.,
MDM/TAB,Municipal Data Bank/Technical Assistance Bureau,
MGL,Massachusetts General Laws,
MHD,Massachusetts Highway Department,
Minimum Required Local Contribution,The minimum that a city or town must appropriate from property taxes and other local revenues for the support of schools (Education Reform Act of 1993).,
Minimum Residential Factor (MRF),"Massachusetts? law allows for a shift of the tax burden from the residential and open space classes of property to the commercial, industrial and personal property classes (CIP). The MRF, established by the Commissioner of Revenue, is used to make certain that the shift of the tax burden complies with the law. If the MRF would be less than .65, the community cannot make the maximum shift and must use a CIP factor less than 1.50. Chapter 200 of the Acts of 1988 allows certain communities to use a CIP of up to 1.75 percent with specified conditions.",
Modified Accrual Basis of Accounting,A method of accounting that recognizes revenues in the accounting period in which they become available and measurable.,
Motor Vehicle Excise (MVE),"A locally imposed annual tax assessed to owners of motor vehicles registered to an address within the community, in accordance with MGL Chapter 60A. The excise tax rate is set by statute at $25.00 per $1000 of vehicle value. Owner registration and billing information is maintained by the State Registry of Motor Vehicles and is made available to a city or town, or to the Deputy Collector who represents it.",
Multiple Regression,A technique for valuing real property that uses an equation generated through sales analysis to estimate the value of unsold properties.,
Municipal Bond Insurance,An insurance policy that guarantees the interest and principal on a bond issue will be paid as scheduled. The municipal bond insurer will pay the debt whether or not the default was caused by an economic crisis or a natural disaster.,
Municipal Charges Lien,"For delinquent water (MGL Ch. 40 ??42A-F), sewer (MGL Ch. 83 ??16A- F), and trash (MGL Ch. 44 ?28C(f)) charges, a community may lien these amounts on the property tax provided the enabling legislation is accepted and a certificate of acceptance is on file at the Registry of Deeds. For other unpaid local charges and fees, a community may adopt MGL Ch. 40 ?58 separately for each purpose in order to lien each upon the property tax. The lien is created by recording a listing of a particular type of charge or fee (by parcel of land and by name) at the Registry of Deeds.",
Municipal Data Bank,"Located within the Division of Local Services (DLS), the Municipal Data Bank collects, organizes, stores and publishes historical financial information on cities and towns, regional districts and the Commonwealth. Public access to the data is available through links at the DLS website at www.mass.gov/dls.",
Municipal Data Management and Technical Assistance Bureau (MDM/TAB),"A bureau within the State Division of Local Services charged with three primary functions: coordinating financial management consulting services, providing financial and demographic information thru the Municipal Data Bank, and managing the process of preparing the Cherry Sheets and distributing local aid through a number of state aid programs. (See Cherry Sheet, Financial Management Review, Municipal Data Bank)",
Municipal Finance Oversight Board,"Upon abolishing the Emergency Finance Board (EFB), this board (consisting of the attorney general, state treasurer, state auditor, and director of accounts) was created. The types of actions that previously required EFB approval will now require either: (1) no approval beyond the local votes the action requires, (2) approval of certain municipal officials, or (3) approval of this board. (See DOR IGR 04- 101)",
Municipal Revenue Growth Factor (MRGF),"An estimate of the percentage change in a municipality's revenue growth for a fiscal year. It represents the combined percentage increase in the following revenue components: automatic 2« percent increase in the levy limit, estimated new growth, the change in selected unrestricted state aid categories, and the change in selected unrestricted local receipts (Education Reform Act of 1993).",
Municipal(s),"(As used in the bond trade) ""Municipal"" refers to any state or subordinate governmental unit. ""Municipals"" (i.e., municipal bonds) include not only the bonds of all political subdivisions, such as cities, towns, school districts, special districts, but also bonds of the state and agencies of the state.",
Net Assets Unrestricted (formerly Retained Earnings),"An equity account reflecting the accumulated earnings of an enterprise fund that may be used to fund capital improvements, to reimburse the general fund for prior year subsidies, to reduce user charges and to provide for enterprise revenue deficits (operating loss).",
Net School Spending (NSS),"School budget and municipal budget amounts attributable to education, excluding long-term debt service, student transportation, school lunches and certain other specified school expenditures. A community?s NSS funding must equal or exceed the NSS Requirement established annually by the Department of Education (DOE). (See Education Reform Act of 1993)",
New Growth,"The additional tax revenue generated by new construction, renovations and other increases in the property tax base during a calendar year. It does not include value increases caused by normal market forces or by revaluations. New growth is calculated by multiplying the assessed value associated with new construction, renovations and other increases by the prior year tax rate. The additional tax revenue is then incorporated into the calculation of the next year's levy limit. For example, new growth for FY07 is based on new construction, etc. that occurred between January and December 2005 (or July 2005 and June 2006 for accelerated new growth communities). In the fall of 2006, when new growth is being determined to set the FY07 levy limit, the FY06 tax rate is used in the calculation.",
Non-Recurring Revenue Source,"A one-time source of money available to a city or town. By its nature, a non-recurring revenue source cannot be relied upon in future years. Therefore, such funds should not be used for operating or other expenses that continue from year-to-year. (See Recurring Revenue Source)",
Non-Renewal Program,"Upon request, the Registry of Motor Vehicles marks the license and registration of delinquent excise payers for non- renewal. This program has proved particularly effective.",
Note,"A short-term loan, typically with a maturity date of a year or less.",
Objects of Expenditures,"A classification of expenditures that is used for coding any department disbursement, such as ""personal services,? ?expenses,? or ""capital outlay"".",
Official Statement,A document prepared for potential investors that contains information about a prospective bond or note issue and the issuer. The official statement is typically published with the notice of sale. It is sometimes called an offering circular or prospectus.,
Offset Receipts,"A local option that allows estimated receipts of a particular department to be earmarked for use of the department and appropriated to offset its annual operating budget. If accepted, MGL Ch. 44 ?53E limits the amount of offset receipts appropriated to no more than the actual receipts collected for the prior fiscal year. The Director of Accounts must approve use of a higher amount before appropriation. Actual collections greater than the amount appropriated close to the general fund at year-end. If actual collections are less, the deficit must be raised in the next year?s tax rate.",
Omitted and Revised Values,"Corrections, submitted by assessors, after the annual commitment is made to reverse unintentional or inadvertent mistakes that cause some owners not to be assessed or to be incorrectly assessed for the fiscal year. These must be committed by June 20 or 90 days after bills are issued, whichever is later.",
On-line Bill Payment Service,"A third-party service provider that gives taxpayers the ability to pay taxes, excise and utility payments by electronic check transfers or credit card payments 24 hours a day.",
OPEB (Other Postemployment Benefits),"Employees of state and local governments may be compensated in a variety of forms in exchange for their services. In addition to a salary, many employees earn benefits over their years of service that will not be received until after their employment with the government ends. The most common type of these postemployment benefits is a pension. Postemployment benefits other than pensions generally take the form of health insurance and dental, vision, prescription, or other healthcare benefits provided to eligible retirees, including in some cases their beneficiaries. They may also include some type of life insurance. As a group, these are referred to as OPEB. (See GASB 45)",
Operating Budget,"A plan of proposed expenditures for personnel, supplies, and other expenses for the coming fiscal year.",
Other Amounts to be Raised (Tax Recapitulation Sheet),"Amounts not appropriated but raised through taxation. Generally, these are locally generated expenditures (e.g., overlay, teacher pay deferral, deficits) as well as state, county and other special district charges. Because they must be funded in the annual budget, special consideration should be given to them when finalizing the budget recommendations to the city council or town meeting.",
Outside Debt,"Municipal borrowing for purposes enumerated in MGL Ch. 44, ?8. Debt incurred that is not measured against the community's debt limit per Ch. 10. Consequently, the borrowing is outside the debt limit and referred to as outside debt. (See Inside Debt)",
Overlapping Debt,"A community's proportionate share of the debt incurred by an overlapping government entity, such as a regional school district, regional transit authority, etc.",
Overlay (Overlay Reserve or Allowance for Abatements and Exemptions),"An account established annually to fund anticipated property tax abatements, exemptions and uncollected taxes in that year. The overlay reserve need not be funded by the normal appropriation process, but rather is raised on the tax rate recapitulation sheet.",
Overlay Deficit,"A deficit that occurs when the amount of overlay raised in a given year is insufficient to cover abatements, statutory exemptions, and uncollected taxes for that year. Overlay deficits must be provided for in the next fiscal year.",
Overlay Surplus,"Any balance in the overlay account of a given year in excess of the amount remaining to be collected or abated can be transferred into this account. Within ten days of a written request by the chief executive officer of a city or town, the assessors must provide a certification of the excess amount of overlay available to transfer, if any. Overlay surplus may be appropriated for any lawful purpose. At the end of each fiscal year, unused overlay surplus is ""closed"" to surplus revenue; in other words, it becomes a part of free cash.",
Overnight Repurchase Agreement,A contract between a financial institution and a community authorizing the financial institution to operate a sweep account on behalf of the municipality. (See Sweep Account),
Override,A vote by a community at an election to permanently increase the levy limit. An override vote may increase the levy limit no higher than the levy ceiling. The override question on the election ballot must state a purpose for the override and the dollar amount. (See Underride),
Override Capacity,The difference between a community's levy ceiling and its levy limit. It is the maximum amount by which a community may override its levy limit.,
Payments in Lieu of Taxes,"An agreement between a municipality and an entity not subject to taxation, such as charitable or educational organizations, in which the payer agrees to make a voluntary payment to the municipality. By law, a city or town must make such a payment to any other community in which it owns land used for public purposes.",
Pension (and other employee benefit) Trust Funds,"A fiduciary fund type used to report resources that are required to be held in trust for the members and beneficiaries of defined benefit pension plans, defined contribution plans, other postemployment benefit (OPEB) plans, or other employee benefit plans.",
Pension Cost,A measure of the periodic cost of an employer?s participation in a defined benefit pension plan.,
Pension Plan,"An arrangement for the provision of pension benefits to employees upon their retirement.  All assets accumulated are used to pay benefits (including refunds of member contributions) to plan members or beneficiaries, as defined by the terms of the plan.",
PERAC,The Public Employee Retirement Administration oversees and directs the state retirement system and administers benefits for members.,
Performance Audit,"Such audits examine the implicit assertion of management, that it is meeting its responsibilities efficiently and effectively. Performance audits typically focus on individual departments, agencies, activities, or functions within a government.",
Performance Budget,A budget that stresses output both in terms of economy and efficiency.,
Permanent Debt,Borrowing by a community typically involving a debt service amortization period of greater than one year. (See Long-Term Debt),
Permanent Funds,"A fiduciary fund type used to report resources that are legally restricted to the extent that only earnings, and not principal, may be used for purposes that support the reporting government?s programs, that is, for the benefit of the government for its citizenry. An example is a cemetery perpetual care fund.",
Personal Property,"Movable items not permanently affixed to, or part of the real estate. It is assessed separately from real estate to certain businesses, public utilities, and owners of homes that are not their primary residences.",
Personnel Costs,"The cost of salaries, wages and related employment benefits.",
Preliminary Tax,"The tax bill for the first two quarters of the fiscal year sent, no later than July 1, by communities on a quarterly tax billing cycle. The tax due on a preliminary tax bill can be no greater than the amount due in the last two quarters of the previous fiscal year.",
Principal,"The face amount of a bond, exclusive of accrued interest.",
Private-Purpose Trust Funds,"A fiduciary trust fund type used to report all trust arrangements, other than those properly reported in pension trust funds or investment trust funds, under which principal and income benefits individuals, private organizations, or other governments. An example is a scholarship fund.",
Procurement Officer,"An individual defined under MGL Ch. 30B, ?2 and authorized to procure supplies or services for a governmental body.",
Proforma Recap Sheet,The Tax Recapitulation Sheet submitted to DOR by communities on a semi- annual tax billing cycle which seek to send a preliminary tax notice for the first half of the fiscal year because they are in a recertification year or have a valuation related delay.,
Program,A combination of activities to accomplish an end.,
Program Budget,A budget that relates expenditures to the programs they fund. The emphasis of a program budget is on output.,
Property Tax Bureau,(See Bureau of Municipal Finance Law),
Proposition 2«,"A state law enacted in 1980, Proposition 2« regulates local property tax administration and limits the amount of revenue a city or town may raise from local property taxes each year to fund municipal operations.",
Proprietary Funds,"Funds that account for government?s business-type activities (e.g., activities that receive a significant portion of their funding through user charges). The fund types included in proprietary funds are the enterprise fund and the internal service fund.",
Purchase Order,An official document or form authorizing the purchase of products and services.,
Purchased Services,The cost of services that are provided by a vendor.,
Purchasing Agent,"Through local acceptance of MGL Ch. 41, ?103, a city or town may establish a purchasing department and appoint a purchasing agent who shall purchase all supplies for the city or town. (See Procurement Officer)",
Qualified Bond,"A program, unique to Massachusetts, for municipalities that have marginal credit ratings in which the State Treasurer pays the debt service directly from a community?s local aid, reinforcing the security of the bond and improving its marketability. Issuers of qualified bonds have been able to obtain bond insurance and these credit enhancements have reduced the cost of borrowing in recent years. The Municipal Finance Oversight Board authorizes issuance of these bonds under Ch. 44A.",
Raise and Appropriate,"A phrase used to identify a funding source for an expenditure or expenditures, which refers to money generated by the tax levy or other local receipt.",
Real Property,"Land, buildings and the rights and benefits inherent in owning them.",
Recap Sheet,(See Tax Rate Recapitulation Sheet),
Receipts,Money collected by and within the control of a community from any source and for any purpose.,
Receipts Reserved for Appropriation,"Proceeds that are earmarked by law and placed in separate accounts for appropriation for particular purposes. For example, parking meter proceeds may be appropriated to offset certain expenses for parking meters and the regulation of parking and other traffic activities.",
Receivables,An expectation of payment of an amount certain accruing to the benefit of a city or town.,
Reconciliation of Cash,Periodic process where the accountant and treasurer compare records to confirm available cash in community accounts. DOR requires an annual reconciliation of cash without variances to be submitted with as balance sheet as a prerequisite to certifying a community's free cash.,
Reconciliation of Receivables,Periodic process where the accountant and collector compare records to confirm amount of taxes outstanding. DOR requires an annual reconciliation of receivables without variances to be submitted with a balance sheet as a prerequisite to certifying a community's free cash.,
Records Disposition Schedule,"Guidelines published by the Records Management Division of the Secretary of State's Office and pursuant to MGL Ch. 66, informing local officials as to how long, and in what form, municipal records must be maintained, and identifying what records may be lawfully disposed.",
Recurring Revenue Source,"A source of money used to support municipal expenditures, which by its nature can be relied upon, at some level, in future years. (See Non-recurring Revenue Source)",
Refunding of Debt,Transaction where one bond issue is redeemed and replaced by a new bond issue under conditions generally more favorable to the issuer. (See Current and Advance Refunding of Debt),
Repurchase Agreement (Repo),"An agreement whereby a local government transfers cash to a financial institution, and the financial institution transfers securities to the local government and promises to repay the cash plus interest in exchange for the same securities within a given number of days.",
Requisition,Form used by the requesting department when ordering products and services from external vendors. This document generates a Purchase Order.,
Reserve for Abatements and Exemptions,(See Overlay),
Reserve Fund,"An amount set aside annually within the budget of a city (not to exceed 3 percent of the tax levy for the preceding year) or town (not to exceed 5 percent of the tax levy for the preceding year) to provide a funding source for extraordinary or unforeseen expenditures. In a town, the finance committee can authorize transfers from this fund for ""extraordinary or unforeseen"" expenditures. Other uses of the fund require budgetary transfers by town meeting. In a city, transfers from this fund may be voted by the city council upon recommendation of the mayor.",
Residential Exemption,"A municipality can grant a residential exemption of a dollar amount that cannot exceed 20 percent of the average assessed value of all residential class properties. The exemption reduces, by the adopted percentage, the taxable valuation of each residential parcel that is a taxpayer's principal residence. Granting the exemption raises the residential tax rate and shifts the residential tax burden from moderately valued homes to apartments, summer homes and higher valued homes.",
